site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
2551,D,2021-01-01,0,39.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,1,21.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,2,20.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,3,14.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,4,13.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,5,10.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,6,10.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,7,17.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,8,11.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,9,9.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,10,9.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,11,11.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,12,12.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,13,6.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,14,9.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,15,11.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,16,7.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,17,30.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,18,31.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,19,27.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,20,31.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,21,54.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,22,59.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-01,23,33.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,0,36.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,1,27.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,2,22.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,3,14.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,4,12.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,5,11.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,6,41.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,7,104.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,8,85.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,9,74.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,10,63.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,11,33.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,12,29.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,13,24.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,14,31.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,15,25.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,16,31.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,17,50.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,18,62.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,19,62.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,20,59.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,21,85.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,22,73.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-02,23,63.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,0,91.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,1,154.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,2,135.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,3,126.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,4,117.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,5,116.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,6,100.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,7,103.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,8,90.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,9,73.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,10,53.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,11,44.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,12,44.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,13,46.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,14,37.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,15,30.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,16,34.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,17,38.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,18,56.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,19,55.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,20,52.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,21,49.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,22,48.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-03,23,47.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,0,55.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,1,53.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,2,39.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,3,32.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,4,28.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,5,34.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,6,67.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,7,47.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,8,36.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,9,51.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,10,51.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,11,35.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,12,27.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,13,29.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,14,35.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,15,31.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,16,35.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,17,59.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,18,96.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,19,81.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
2551,D,2021-01-04,20,82.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,El Centro-9th Street 
