site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-03,7,0.0157,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,8,0.0243,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,9,0.0446,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,10,0.0255,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,11,0.0113,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,12,0.0089,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,13,0.0060,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,14,0.0080,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,15,0.0149,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,16,0.0151,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,17,0.0295,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,18,0.0240,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,19,0.0272,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,20,0.0264,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,21,0.0279,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,22,0.0248,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-03,23,0.0221,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,0,0.0216,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,1,0.0207,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,2,0.0177,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,3,0.0147,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,4,0.0118,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,5,0.0122,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,6,0.0126,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-04,7,0.0132,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
