site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
5817,2020-01-01,0,79.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,1,85.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,2,86.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,3,89.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,4,86.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,5,90.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,6,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,7,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,8,77.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,9,58.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,10,48.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,11,42.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,12,37.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,13,35.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,14,38.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,15,43.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,16,54.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,17,61.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,18,63.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,19,72.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,20,81.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,21,78.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,22,85.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-01,23,84.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,0,88.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,1,86.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,2,90.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,3,91.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,4,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,5,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,6,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,7,89.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,8,81.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,9,59.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,10,50.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,11,40.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,12,27.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,13,22.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,14,23.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,15,25.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,16,33.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,17,42.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,18,55.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,19,44.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,20,41.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,21,51.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,22,54.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-02,23,60.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,0,68.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,1,70.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,2,79.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,3,81.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,4,78.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,5,78.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,6,81.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,7,77.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,8,63.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,9,45.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,10,38.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,11,36.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,12,35.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,13,32.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,14,32.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,15,33.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,16,36.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,17,51.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,18,55.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,19,57.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,20,69.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,21,76.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,22,80.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-03,23,83.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,0,80.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,1,84.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,2,84.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,3,86.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,4,90.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,5,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,6,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,7,92.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,8,76.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,9,56.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,10,51.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,11,47.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
5817,2020-01-04,12,44.0,RELHUM,Percent ( % ),0,,CIMIS,A60,0,Palo Verde II 
