site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
3675,B,2015-01-01,0,100.30,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,1,49.40,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,2,48.30,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,3,32.90,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,4,35.40,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,5,64.10,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,6,87.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,7,88.10,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,8,58.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,9,32.80,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,10,29.30,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,11,28.10,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,12,27.10,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,13,32.50,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,14,25.70,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,15,21.90,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,16,38.50,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,17,46.80,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,18,47.40,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,19,64.80,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,20,93.00,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,21,84.40,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,22,38.40,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-01,23,46.30,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,0,36.90,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,1,30.90,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,2,35.40,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,3,31.60,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,4,42.60,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,5,40.80,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,6,73.90,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
3675,B,2015-01-02,7,63.30,PM10_SHR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Brawley-220 Main Street 
